,number,l_p_l_lo_x,l_p_l_lo_y,l_p_l_re_x,l_p_l_re_y,l_p_r_lo_x,l_p_r_lo_y,l_p_r_re_x,l_p_r_re_y,l_h_l_x,l_h_l_y,l_h_r_x,l_h_r_y,r_p_l_lo_x,r_p_l_lo_y,r_p_l_re_x,r_p_l_re_y,r_p_r_lo_x,r_p_r_lo_y,r_p_r_re_x,r_p_r_re_y,r_h_l_x,r_h_l_y,r_h_r_x,r_h_r_y,3d_p_x,3d_p_y,3d_p_z,3d_h_l_x,3d_h_l_y,3d_h_l_z,3d_h_r_x,3d_h_r_y,3d_h_r_z
0,1606,1300.44,375.09,1303.59,376.57,1318.16,373.95,1318.16,373.95,318.96,681.65,2114.92,539.35,1163.0,423.0,1163.0,423.0,1176.21,423.01,1176.21,423.01,304.17,619.02,2201.23,706.73,424.21,4209.82,3010.41,-246.11,4482.96,3405.21,1280.94,4301.6,3255.59
0,1607,1298.96,374.02,1298.93,374.34,1316.75,372.77,1319.62,373.22,324.41,681.89,2114.82,538.23,1152.0,422.0,1152.0,422.0,1164.95,422.65,1164.95,422.65,303.8,619.48,2201.15,706.44,414.32,4209.62,2988.95,-244.43,4482.34,3389.45,1280.86,4300.63,3255.68
0,1608,1296.74,376.03,1296.74,376.03,1317.25,374.5,1317.25,374.5,321.59,680.13,2114.11,539.13,1153.69,422.4,1153.69,422.4,1172.89,424.02,1172.89,424.02,303.19,619.78,2200.87,706.06,419.13,4210.19,3005.65,-245.72,4481.29,3395.36,1281.16,4301.44,3257.2
0,1609,1293.62,375.83,1293.62,375.83,1311.35,374.66,1311.35,374.66,321.45,678.17,2113.84,538.77,1141.8,422.07,1141.8,422.07,1152.17,424.22,1152.17,424.22,303.23,620.25,2200.46,706.17,405.21,4211.4,2979.77,-245.83,4479.79,3395.92,1280.75,4301.13,3256.98
0,1610,1290.88,375.57,1292.42,374.98,1308.57,374.46,1308.02,373.36,322.23,678.11,2112.69,538.11,1126.74,422.59,1121.95,421.36,1143.67,423.32,1148.52,423.23,301.53,619.9,2199.7,705.69,395.13,4211.52,2958.94,-246.31,4479.42,3389.02,1280.64,4300.6,3258.63
0,1611,1289.36,376.42,1289.36,376.42,1309.95,375.14,1309.95,375.14,321.92,679.55,2112.23,539.59,1112.91,421.86,1113.34,422.37,1130.16,422.5,1130.54,422.55,301.57,620.42,2199.24,705.9,383.7,4213.85,2930.94,-246.33,4480.59,3389.96,1280.44,4301.91,3258.94
0,1612,1287.35,375.18,1287.35,375.18,1307.47,373.74,1307.47,373.74,321.64,679.04,2112.23,538.69,1100.27,421.36,1100.27,421.36,1112.54,421.69,1112.54,421.69,301.05,620.12,2198.96,705.57,370.71,4214.09,2902.6,-246.68,4480.16,3389.25,1279.94,4301.13,3258.21
0,1613,1284.43,374.86,1284.43,374.86,1304.4,373.6,1304.4,373.6,321.49,681.1,2111.27,538.21,1082.44,420.52,1082.44,420.52,1100.81,421.09,1100.81,421.09,299.91,619.49,2198.85,705.24,358.71,4215.02,2878.1,-247.14,4481.64,3386.41,1280.69,4300.73,3260.91
0,1614,1280.27,375.95,1280.27,375.95,1297.96,374.84,1301.3,374.49,320.85,680.52,2111.64,538.71,1313.26,429.53,1313.32,428.15,1330.24,430.28,1338.78,430.46,299.18,619.31,2198.99,704.77,593.23,4192.18,3484.24,-247.7,4481.18,3386.06,1280.59,4301.16,3260.15
0,1615,1277.56,374.03,1278.68,374.87,1295.46,372.93,1299.04,372.95,320.21,680.24,2111.62,536.78,1312.33,426.6,1315.56,428.54,1328.88,427.15,1332.07,429.5,299.14,618.5,2199.09,704.25,591.19,4191.14,3483.85,-247.94,4481.05,3387.67,1280.68,4299.47,3260.44
